Task Name,Query,Start Time,End Time,Duration (seconds)
Disease gene location,Q1,7/1/2025 2:47:53,7/1/2025 2:49:24,90.615
Disease gene location,Q2,7/1/2025 2:49:24,7/1/2025 2:50:16,52.095
Disease gene location,Q3,7/1/2025 2:50:16,7/1/2025 2:51:01,45.323
Disease gene location,Q4,7/1/2025 2:51:01,7/1/2025 2:51:47,46.165
Disease gene location,Q5,7/1/2025 2:51:47,7/1/2025 2:53:23,95.453
Disease gene location,Q6,7/1/2025 2:53:23,7/1/2025 2:54:42,79.616
Disease gene location,Q7,7/1/2025 2:54:42,7/1/2025 2:56:48,125.415
Disease gene location,Q8,7/1/2025 2:56:48,7/1/2025 2:57:40,52.559
Disease gene location,Q9,7/1/2025 2:57:40,7/1/2025 2:58:26,45.26
Disease gene location,Q10,7/1/2025 2:58:26,7/1/2025 2:59:53,87.145
Disease gene location,Q11,7/1/2025 2:59:53,7/1/2025 3:00:42,49.376
Disease gene location,Q12,7/1/2025 3:00:42,7/1/2025 3:02:06,83.883
Disease gene location,Q13,7/1/2025 3:02:06,7/1/2025 3:02:49,43.296
Disease gene location,Q14,7/1/2025 3:02:49,7/1/2025 3:03:38,48.655
Disease gene location,Q15,7/1/2025 3:03:38,7/1/2025 3:04:21,43.316
Disease gene location,Q16,7/1/2025 3:04:21,7/1/2025 3:05:45,83.623
Disease gene location,Q17,7/1/2025 3:05:45,7/1/2025 3:08:27,162.08
Disease gene location,Q18,7/1/2025 3:08:27,7/1/2025 3:09:40,73.175
Disease gene location,Q19,7/1/2025 3:09:40,7/1/2025 3:10:59,78.683
Disease gene location,Q20,7/1/2025 3:10:59,7/1/2025 3:12:59,120.367
Disease gene location,Q21,7/1/2025 3:12:59,7/1/2025 3:14:37,97.801
Disease gene location,Q22,7/1/2025 3:14:37,7/1/2025 3:15:25,47.643
Disease gene location,Q23,7/1/2025 3:15:25,7/1/2025 3:16:11,46.45
Disease gene location,Q24,7/1/2025 3:16:11,7/1/2025 3:16:55,43.842
Disease gene location,Q25,7/1/2025 3:16:55,7/1/2025 3:18:25,90.501
Disease gene location,Q26,7/1/2025 3:18:25,7/1/2025 3:19:46,81.141
Disease gene location,Q27,7/1/2025 3:19:46,7/1/2025 3:20:38,51.421
Disease gene location,Q28,7/1/2025 3:20:38,7/1/2025 3:22:18,99.97
Disease gene location,Q29,7/1/2025 3:22:18,7/1/2025 3:23:07,48.672
Disease gene location,Q30,7/1/2025 3:23:07,7/1/2025 3:24:34,87.852
Disease gene location,Q31,7/1/2025 3:24:34,7/1/2025 3:25:26,51.763
Disease gene location,Q32,7/1/2025 3:25:26,7/1/2025 3:26:49,83.121
Disease gene location,Q33,7/1/2025 3:26:49,7/1/2025 3:28:39,109.252
Disease gene location,Q34,7/1/2025 3:28:39,7/1/2025 3:29:55,76.552
Disease gene location,Q35,7/1/2025 3:29:55,7/1/2025 3:30:54,58.446
Disease gene location,Q36,7/1/2025 3:30:54,7/1/2025 3:31:42,48.263
Disease gene location,Q37,7/1/2025 3:31:42,7/1/2025 3:32:31,48.899
Disease gene location,Q38,7/1/2025 3:32:31,7/1/2025 3:33:20,48.954
Disease gene location,Q39,7/1/2025 3:33:20,7/1/2025 3:36:43,203.24
Disease gene location,Q40,7/1/2025 3:36:43,7/1/2025 3:37:43,59.904
Disease gene location,Q41,7/1/2025 3:37:43,7/1/2025 3:39:09,86.068
Disease gene location,Q42,7/1/2025 3:39:09,7/1/2025 3:39:57,48.004
Disease gene location,Q43,7/1/2025 3:39:57,7/1/2025 3:40:54,57.513
Disease gene location,Q44,7/1/2025 3:40:54,7/1/2025 3:53:02,727.204
Disease gene location,Q45,7/1/2025 3:53:02,7/1/2025 3:54:55,113.167
Disease gene location,Q46,7/1/2025 3:54:55,7/1/2025 3:55:50,55.534
Disease gene location,Q47,7/1/2025 3:55:50,7/1/2025 3:58:12,141.3
Disease gene location,Q48,7/1/2025 3:58:12,7/1/2025 4:07:18,546.176
Disease gene location,Q49,7/1/2025 4:07:18,7/1/2025 4:08:05,47.481
Disease gene location,Q50,7/1/2025 4:08:05,7/1/2025 4:09:31,86.152
SNP gene function,Q1,7/1/2025 4:09:31,7/1/2025 4:10:21,49.579
SNP gene function,Q2,7/1/2025 4:10:21,7/1/2025 4:11:07,46.161
SNP gene function,Q3,7/1/2025 4:11:07,7/1/2025 4:11:53,46.217
SNP gene function,Q4,7/1/2025 4:11:53,7/1/2025 4:12:39,45.613
SNP gene function,Q5,7/1/2025 4:12:39,7/1/2025 4:13:24,44.839
SNP gene function,Q6,7/1/2025 4:13:24,7/1/2025 4:14:10,46.071
SNP gene function,Q7,7/1/2025 4:14:10,7/1/2025 4:14:57,47.373
SNP gene function,Q8,7/1/2025 4:14:57,7/1/2025 4:15:42,44.45
SNP gene function,Q9,7/1/2025 4:15:42,7/1/2025 4:16:30,48.196
SNP gene function,Q10,7/1/2025 4:16:30,7/1/2025 4:17:33,62.842
SNP gene function,Q11,7/1/2025 4:17:33,7/1/2025 4:18:23,50.491
SNP gene function,Q12,7/1/2025 4:18:23,7/1/2025 4:19:10,46.356
SNP gene function,Q13,7/1/2025 4:19:10,7/1/2025 4:19:59,49.553
SNP gene function,Q14,7/1/2025 4:19:59,7/1/2025 4:20:48,49.319
SNP gene function,Q15,7/1/2025 4:20:48,7/1/2025 4:21:36,47.349
SNP gene function,Q16,7/1/2025 4:21:36,7/1/2025 4:22:39,63.521
SNP gene function,Q17,7/1/2025 4:22:39,7/1/2025 4:23:26,46.364
SNP gene function,Q18,7/1/2025 4:23:26,7/1/2025 4:24:14,48.646
SNP gene function,Q19,7/1/2025 4:24:14,7/1/2025 4:24:59,44.638
SNP gene function,Q20,7/1/2025 4:24:59,7/1/2025 4:25:43,43.935
SNP gene function,Q21,7/1/2025 4:25:43,7/1/2025 4:26:28,44.846
SNP gene function,Q22,7/1/2025 4:26:28,7/1/2025 4:27:16,48.452
SNP gene function,Q23,7/1/2025 4:27:16,7/1/2025 4:28:02,45.91
SNP gene function,Q24,7/1/2025 4:28:02,7/1/2025 4:28:46,43.827
SNP gene function,Q25,7/1/2025 4:28:46,7/1/2025 4:29:31,44.996
SNP gene function,Q26,7/1/2025 4:29:31,7/1/2025 4:30:19,47.645
SNP gene function,Q27,7/1/2025 4:30:19,7/1/2025 4:31:18,59.151
SNP gene function,Q28,7/1/2025 4:31:18,7/1/2025 4:32:02,43.847
SNP gene function,Q29,7/1/2025 4:32:02,7/1/2025 4:32:48,46.872
SNP gene function,Q30,7/1/2025 4:32:48,7/1/2025 4:33:33,44.163
SNP gene function,Q31,7/1/2025 4:33:33,7/1/2025 4:34:17,44.421
SNP gene function,Q32,7/1/2025 4:34:17,7/1/2025 4:35:02,44.531
SNP gene function,Q33,7/1/2025 4:35:02,7/1/2025 4:35:49,47.033
SNP gene function,Q34,7/1/2025 4:35:49,7/1/2025 4:36:35,46.671
SNP gene function,Q35,7/1/2025 4:36:35,7/1/2025 4:37:21,45.712
SNP gene function,Q36,7/1/2025 4:37:21,7/1/2025 4:38:24,63.085
SNP gene function,Q37,7/1/2025 4:38:24,7/1/2025 4:39:22,57.668
SNP gene function,Q38,7/1/2025 4:39:22,7/1/2025 4:40:10,47.804
SNP gene function,Q39,7/1/2025 4:40:10,7/1/2025 4:40:39,29.879
SNP gene function,Q40,7/1/2025 4:40:39,7/1/2025 4:41:24,44.268
SNP gene function,Q41,7/1/2025 4:41:24,7/1/2025 4:42:07,43.208
SNP gene function,Q42,7/1/2025 4:42:07,7/1/2025 4:42:51,43.703
SNP gene function,Q43,7/1/2025 4:42:51,7/1/2025 4:43:38,47.854
SNP gene function,Q44,7/1/2025 4:43:38,7/1/2025 4:44:26,47.252
SNP gene function,Q45,7/1/2025 4:44:26,7/1/2025 4:45:10,44.35
SNP gene function,Q46,7/1/2025 4:45:10,7/1/2025 4:45:57,47.114
SNP gene function,Q47,7/1/2025 4:45:57,7/1/2025 4:46:43,46.103
SNP gene function,Q48,7/1/2025 4:46:43,7/1/2025 4:47:30,46.534
SNP gene function,Q49,7/1/2025 4:47:30,7/1/2025 4:48:18,48.331
SNP gene function,Q50,7/1/2025 4:48:18,7/1/2025 4:49:03,45.335
sequence gene alias,Q1,7/1/2025 4:49:58,7/1/2025 4:52:07,129.575
sequence gene alias,Q2,7/1/2025 4:52:07,7/1/2025 4:54:19,131.485
sequence gene alias,Q3,7/1/2025 4:54:19,7/1/2025 4:56:30,131.045
sequence gene alias,Q4,7/1/2025 4:56:30,7/1/2025 4:58:40,130.327
sequence gene alias,Q5,7/1/2025 4:58:40,7/1/2025 5:00:51,131.177
sequence gene alias,Q6,7/1/2025 5:00:51,7/1/2025 5:02:59,127.957
sequence gene alias,Q7,7/1/2025 5:02:59,7/1/2025 5:05:05,125.826
sequence gene alias,Q8,7/1/2025 5:05:05,7/1/2025 5:06:45,100.052
sequence gene alias,Q9,7/1/2025 5:06:45,7/1/2025 5:08:54,129.032
sequence gene alias,Q10,7/1/2025 5:08:54,7/1/2025 5:12:26,211.385
sequence gene alias,Q11,7/1/2025 5:12:26,7/1/2025 5:14:32,126.792
sequence gene alias,Q12,7/1/2025 5:14:32,7/1/2025 5:16:40,127.327
sequence gene alias,Q13,7/1/2025 5:16:40,7/1/2025 5:18:18,98.242
sequence gene alias,Q14,7/1/2025 5:18:18,7/1/2025 5:20:07,108.788
sequence gene alias,Q15,7/1/2025 5:20:07,7/1/2025 5:22:23,135.987
sequence gene alias,Q16,7/1/2025 5:22:23,7/1/2025 5:24:32,129.682
sequence gene alias,Q17,7/1/2025 5:24:32,7/1/2025 5:26:41,128.765
sequence gene alias,Q18,7/1/2025 5:26:41,7/1/2025 5:28:54,133.263
sequence gene alias,Q19,7/1/2025 5:28:54,7/1/2025 5:30:22,87.558
sequence gene alias,Q20,7/1/2025 5:30:22,7/1/2025 5:32:33,130.826
sequence gene alias,Q21,7/1/2025 5:32:33,7/1/2025 5:34:42,128.766
sequence gene alias,Q22,7/1/2025 5:34:42,7/1/2025 5:36:51,129.234
sequence gene alias,Q23,7/1/2025 5:36:51,7/1/2025 5:39:00,129.299
sequence gene alias,Q24,7/1/2025 5:39:00,7/1/2025 5:41:07,126.94
sequence gene alias,Q25,7/1/2025 5:41:07,7/1/2025 5:43:17,129.788
sequence gene alias,Q26,7/1/2025 5:43:17,7/1/2025 5:45:24,126.873
sequence gene alias,Q27,7/1/2025 5:45:24,7/1/2025 5:47:33,129.709
sequence gene alias,Q28,7/1/2025 5:47:33,7/1/2025 5:49:45,131.194
sequence gene alias,Q29,7/1/2025 5:49:45,7/1/2025 5:51:54,128.861
sequence gene alias,Q30,7/1/2025 5:51:54,7/1/2025 5:54:04,130.781
sequence gene alias,Q31,7/1/2025 5:54:04,7/1/2025 5:59:13,309.121
sequence gene alias,Q32,7/1/2025 5:59:13,7/1/2025 6:01:17,123.39
sequence gene alias,Q33,7/1/2025 6:01:17,7/1/2025 6:03:26,128.678
sequence gene alias,Q34,7/1/2025 6:03:26,7/1/2025 6:05:35,129.687
sequence gene alias,Q35,7/1/2025 6:05:35,7/1/2025 6:07:49,134.207
sequence gene alias,Q36,7/1/2025 6:07:49,7/1/2025 6:10:01,131.22
sequence gene alias,Q37,7/1/2025 6:10:01,7/1/2025 6:12:13,132.198
sequence gene alias,Q38,7/1/2025 6:12:13,7/1/2025 6:14:22,129.174
sequence gene alias,Q39,7/1/2025 6:14:22,7/1/2025 6:16:32,129.898
sequence gene alias,Q40,7/1/2025 6:16:32,7/1/2025 6:18:42,130.083
sequence gene alias,Q41,7/1/2025 6:18:42,7/1/2025 6:20:58,135.91
sequence gene alias,Q42,7/1/2025 6:20:58,7/1/2025 6:22:17,79.413
sequence gene alias,Q43,7/1/2025 6:22:17,7/1/2025 6:24:25,127.673
sequence gene alias,Q44,7/1/2025 6:24:25,7/1/2025 6:26:33,128.474
sequence gene alias,Q45,7/1/2025 6:26:33,7/1/2025 6:28:48,134.779
sequence gene alias,Q46,7/1/2025 6:28:48,7/1/2025 6:30:57,128.685
sequence gene alias,Q47,7/1/2025 6:30:57,7/1/2025 6:33:05,128.162
sequence gene alias,Q48,7/1/2025 6:33:05,7/1/2025 6:35:15,129.45
sequence gene alias,Q49,7/1/2025 6:35:15,7/1/2025 6:37:28,133.571
sequence gene alias,Q50,7/1/2025 6:37:28,7/1/2025 6:39:40,132.31
Average,,,,92.35388667